	IS TREATED	PERCENT OF HOUSING CROWDED	PERCENT HOUSEHOLDS BELOW POVERTY	PERCENT AGED 16+ UNEMPLOYED	PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA	PERCENT AGED UNDER 18 OR OVER 64	PER CAPITA INCOME 	HARDSHIP INDEX	Birth Rate	General Fertility Rate	Low Birth Weight	Prenatal Care Beginning in First Trimester	Preterm Births	Teen Birth Rate	Breast cancer in females	Cancer (All Sites)	Colorectal Cancer	Diabetes-related	Infant Mortality Rate	Lung Cancer	Prostate Cancer in Males	Stroke (Cerebrovascular Disease)	Childhood Blood Lead Level Screening	Childhood Lead Poisoning	Gonorrhea in Females	Gonorrhea in Males	Tuberculosis	Below Poverty Level	Crowded Housing	Dependency	No High School Diploma	Per Capita Income	Unemployment	CHANGE IN CRIMES	num old crimes	num crimes	DATE ISSUED
2511	0	3.2	16.8	8.2	14.8	26.2	31908	23.0	18.2	63.5	7.2	78.2	9.4	66.1	9.2	148.7	13.7	75.7	4.3	37.7	17.5	31.9	364.4	0.9	209.0	159.3	8.4	17.2	3.2	26.7	18.5	29026	7.5	10	4	14	2003-07-25
2512	0	10.8	18.7	14.6	37.3	37.3	15461	70.0	20.0	88.6	6.9	74.1	7.6	68.2	14.4	152.6	17.7	58.6	5.6	37.8	27.3	38.2	421.5	0.8	95.9	140.9	9.4	18.6	10.0	36.9	37.0	15246	11.5	5	48	53	2011-08-09
2513	0	3.8	20.6	10.7	9.6	22.2	44689	15.0	18.2	55.6	9.0	77.6	10.5	36.7	33.4	202.0	19.2	62.3	9.1	66.2	33.6	43.5	396.7	0.5	629.2	466.5	14.1	21.6	3.8	22.9	11.2	41488	10.7	-12	32	20	2005-01-18
2514	0	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	1	0	1	2020-09-02
2515	0	7.4	43.1	21.2	27.6	42.7	12034	87.0	20.6	86.3	15.3	75.8	15.2	108.9	45.8	261.5	34.8	99.2	14.1	61.7	54.0	70.2	565.7	1.4	2529.9	2236.3	9.3	38.6	7.2	40.9	30.4	12548	18.5	-15	83	68	2018-02-28
2516	0	3.8	24.0	8.9	11.8	22.2	35787	20.0	13.1	50.5	8.3	77.7	10.3	35.1	21.3	183.3	20.5	80.0	6.5	50.5	25.2	41.7	353.7	0.5	170.8	468.7	13.6	22.7	4.6	22.2	13.6	32355	7.7	1	28	29	2008-12-22
2517	0	1.5	18.4	8.4	4.3	26.2	39056	14.0	9.7	33.9	5.9	80.3	5.5	7.6	33.6	144.0	11.7	34.0	10.4	34.9	24.1	26.0	369.0	0.0	216.6	168.4	5.3	18.2	2.5	26.7	5.3	39243	6.9	0	3	3	2016-08-24
2518	0	14.4	23.6	13.9	45.1	39.3	13089	84.0	20.6	90.6	7.2	82.7	8.3	58.1	26.8	139.1	12.8	69.7	5.9	27.7	15.1	38.3	580.4	0.9	97.2	52.7	11.5	23.0	13.2	39.8	48.2	13138	11.2	0	0	0	2021-05-10
2519	0	1.9	12.9	7.0	2.5	22.6	88669	1.0	10.7	35.9	8.6	69.7	9.6	34.0	24.0	142.7	15.1	27.0	6.5	33.6	15.1	22.0	311.2	0.1	244.4	235.8	5.5	13.4	2.0	23.3	3.4	87163	5.2	0	0	0	2003-02-04
2520	0	14.8	33.9	17.3	35.4	38.0	13781	85.0	19.2	80.7	12.3	70.9	11.7	77.9	26.3	211.1	26.6	94.1	9.8	48.0	52.5	53.5	447.7	1.3	1234.7	937.5	9.7	32.6	11.2	38.3	36.8	13391	12.3	-12	57	45	2021-08-18
2521	0	0.8	12.3	5.1	3.6	21.5	71551	2.0	13.2	38.7	6.6	75.7	7.8	2.1	23.7	152.9	16.7	50.1	2.4	40.0	27.3	35.3	173.3	0.6	50.3	93.1	1.2	11.8	0.6	20.4	4.3	71403	4.5	-7	66	59	2002-08-15
2522	0	5.8	14.9	9.6	33.6	39.6	16907	56.0	18.8	83.3	7.6	83.5	8.3	44.6	16.9	145.1	15.7	61.5	8.4	36.7	19.7	43.1	508.3	0.2	93.1	87.2	4.3	15.3	6.8	41.9	33.4	15898	7.8	33	18	51	2007-03-21
2523	0	1.3	13.8	4.9	7.4	21.8	59077	7.0	21.4	72.9	8.8	78.1	10.9	50.9	31.9	169.0	19.2	61.5	4.8	46.2	51.4	52.4	301.3	0.2	300.6	318.7	5.0	11.1	1.4	21.0	7.1	60593	5.7	7	23	30	2007-08-10
2524	0	3.2	16.8	8.2	14.8	26.2	31908	23.0	18.2	63.5	7.2	78.2	9.4	66.1	9.2	148.7	13.7	75.7	4.3	37.7	17.5	31.9	364.4	0.9	209.0	159.3	8.4	17.2	3.2	26.7	18.5	29026	7.5	-15	41	26	2019-01-16
2525	0	1.1	7.5	6.8	4.9	40.5	44164	11.0	10.0	60.6	7.6	79.3	10.3	6.3	25.0	138.7	14.3	37.2	3.8	27.0	20.3	31.0	160.8	0.0		.	2.2	6.1	1.3	40.6	6.3	41509	5.5	0	0	0	2007-02-20
2526	0	3.2	16.8	8.2	14.8	26.2	31908	23.0	18.2	63.5	7.2	78.2	9.4	66.1	9.2	148.7	13.7	75.7	4.3	37.7	17.5	31.9	364.4	0.9	209.0	159.3	8.4	17.2	3.2	26.7	18.5	29026	7.5	2	44	46	2007-11-20
